Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 10.53      0.12     0.12  2524562     0.00     0.00  bool __gnu_cxx::operator!=<int*, std::vector<int, std::allocator<int> > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > > const&)
  9.65      0.23     0.11       13     8.46    50.37  BFSSingleThread(int)
  5.26      0.29     0.06  1606312     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::__normal_iterator(int* const&)
  4.39      0.34     0.05  2234197     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::operator++()
  3.51      0.38     0.04 15196526     0.00     0.00  std::vector<int, std::allocator<int> >::size() const
  3.51      0.42     0.04  5542176     0.00     0.00  __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >::base() const
  3.51      0.46     0.04  3000019     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_emplace_back_aux<int const&>(int const&)
  3.51      0.50     0.04  2335379     0.00     0.00  std::vector<char, std::allocator<char> >::operator[](unsigned long)
  2.63      0.53     0.03  4568984     0.00     0.00  operator new(unsigned long, void*)
  2.63      0.56     0.03  4276667     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  2.63      0.59     0.03  3000021     0.00     0.00  int* std::__copy_move_a2<true, int*, int*>(int*, int*, int*)
  2.63      0.62     0.03   794050     0.00     0.00  std::vector<int, std::allocator<int> >::begin()
  2.63      0.65     0.03   323368     0.00     0.00  std::vector<int, std::allocator<int> >::clear()
  2.19      0.68     0.03  3000015     0.00     0.00  int* std::__uninitialized_copy_a<std::move_iterator<int*>, int*, int>(std::move_iterator<int*>, std::move_iterator<int*>, int*, std::allocator<int>&)
  1.75      0.70     0.02  7313250     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  1.75      0.72     0.02  6000039     0.00     0.00  std::move_iterator<int*>::base() const
  1.75      0.74     0.02  6000029     0.00     0.00  std::move_iterator<int*> std::__make_move_if_noexcept_iterator<int*, std::move_iterator<int*> >(int*)
  1.75      0.76     0.02  4343021     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  1.75      0.78     0.02  3612345     0.00     0.00  std::vector<int, std::allocator<int> >::push_back(int const&)
  1.75      0.80     0.02  3000019     0.00     0.00  int* std::copy<std::move_iterator<int*>, int*>(std::move_iterator<int*>, std::move_iterator<int*>, int*)
  1.75      0.82     0.02  3000016     0.00     0.00  std::vector<int, std::allocator<int> >::_M_check_len(unsigned long, char const*) const
  1.75      0.84     0.02  3000016     0.00     0.00  int* std::__uninitialized_move_if_noexcept_a<int*, int*, std::allocator<int> >(int*, int*, int*, std::allocator<int>&)
  1.75      0.86     0.02   445994     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  1.75      0.88     0.02        1    20.01   443.55  Reader::Read(Context*)
